ID,Name,Poster,NumTracks,TopTracks,Likes,Reposts,PostedTime,Genre,Length
P1499,Folk,U9152,107,"['T12770', 'T12771', 'T12772', 'T12773', 'T12774', 'T12775', 'T12776', 'T12777', 'T12778', 'T12779']",1,10,16 November 2016,folk,2:26:14
P1500,folk,U9160,97,"['T12780', 'T12781', 'T53', 'T12782', 'T12783', 'T12784', 'T12785', 'T12786', 'T12787', 'T12788']",1,5,17 March 2019,folk,3:27:10
P1501,folk,U9170,33,"['T12789', 'T12790', 'T12791', 'T12792', 'T12793', 'T12794', 'T12795', 'T12796', 'T12797', 'T12798']",3,None,8 November 2014,folk,2:55:29
P1502,Folk,U9181,27,"['T11734', 'T12799', 'T12800', 'T12801', 'T12578', 'T12802', 'T12803', 'T12804', 'T12805', 'T12806']",1,41,21 May 2013,folk,1:35:59
P1503,Folk,U9186,119,"['T12807', 'T12808', 'T12809', 'T12810', 'T12811', 'T12812', 'T12813', 'T12814', 'T12815', 'T12816']",24,6,12 July 2013,folk,3:53:50
P1504,Folk,U9197,97,"['T11755', 'T12536', 'T12540', 'T12538', 'T12537', 'T12817', 'T12818', 'T12819', 'T212', 'T12820']",1,None,14 May 2018,folk,3:08:36
P1505,Folk,U9198,10,"['T12821', 'T12822', 'T12823', 'T12824', 'T12825', 'T12826', 'T12827', 'T12828', 'T12829', 'T12830']",12,None,21 November 2022,folk,43:08
P1506,Folk,U9209,90,"['T12831', 'T12832', 'T12833', 'T12834', 'T12835', 'T12836', 'T12837', 'T12838', 'T12839', 'T12840']",14,1,16 December 2015,folk,2:57:07
P1507,folk,U9216,73,"['T12841', 'T12842', 'T12843', 'T12844', 'T12845', 'T12846', 'T12847', 'T12848', 'T12849', 'T12850']",10,None,15 May 2015,folk,3:25:19
P1508,folk,U9219,82,"['T12851', 'T511', 'T509', 'T1441', 'T510', 'T514', 'T324', 'T390', 'T391', 'T12852']",4,None,18 February 2016,folk,2:59:29
P1509,folk,U9221,83,"['T1123', 'T51', 'T1124', 'T1519', 'T721', 'T1122', 'T12853', 'T12854', 'T56', 'T325']",None,None,18 June 2017,folk,3:12:22
P1510,FOLK,U9223,167,"['T12855', 'T12856', 'T12857', 'T12858', 'T12859', 'T12860', 'T12861', 'T12862', 'T12863', 'T12864']",1,43,10 November 2018,folk,2:10:39
P1511,Folk,U9230,85,"['T12865', 'T12866', 'T12867', 'T12868', 'T12869', 'T12870', 'T12871', 'T12872', 'T12873', 'T12874']",2,11,10 January 2017,folk,2:03:33
P1512,folk.,U9235,109,"['T12875', 'T12876', 'T12877', 'T12878', 'T12879', 'T12880', 'T12881', 'T11615', 'T11608', 'T12882']",2,1,11 February 2016,folk,2:51:16
P1513,Folk,U9241,107,"['T12203', 'T12883', 'T10833', 'T12884', 'T12885', 'T12886', 'T12887', 'T12888', 'T12889', 'T12890']",7,None,10 February 2015,folk,2:47:50
P1514,folk,U9248,49,"['T12891', 'T12892', 'T12893', 'T12894', 'T12895', 'T11638', 'T12896', 'T12897', 'T12898', 'T11639']",2,11,16 July 2014,folk,2:34:15
P1515,FOLK ❤,U9249,93,"['T12899', 'T12900', 'T12901', 'T12902', 'T12903', 'T12904', 'T12905', 'T10993', 'T12906', 'T12907']",5,None,3 February 2016,folk,2:53:42
P1516,Folk,U9255,91,"['T12070', 'T12908', 'T12909', 'T12910', 'T12911', 'T12912', 'T10834', 'T12913', 'T12914', 'T12915']",1,15,14 December 2016,folk,3:05:20
P1517,folk,U9262,99,"['T12916', 'T12917', 'T12918', 'T12919', 'T12920', 'T12460', 'T12921', 'T12922', 'T12923', 'T12924']",26,None,26 March 2015,folk,2:21:21
P1518,folk,U9269,90,"['T10668', 'T12925', 'T12045', 'T12633', 'T390', 'T389', 'T392', 'T324', 'T508', 'T57']",None,None,9 August 2018,folk,3:20:15
P1519,folk,U9271,87,"['T12926', 'T12927', 'T999', 'T12543', 'T12541', 'T12928', 'T12929', 'T12930', 'T12931', 'T555']",1,None,27 May 2019,folk,3:21:43
P1520,folk,U9277,91,"['T52', 'T56', 'T51', 'T721', 'T325', 'T1123', 'T11758', 'T12382', 'T12932', 'T12933']",2,None,9 January 2018,folk,3:46:28
P1521,folk,U9278,45,"['T11872', 'T12934', 'T12935', 'T12936', 'T12937', 'T12938', 'T12939', 'T12940', 'T11922', 'T12941']",3,None,24 May 2017,folk,3:27:52
P1522,folk,U9287,16,"['T12942', 'T12943', 'T12944', 'T12945', 'T12462', 'T12946', 'T12947', 'T12948', 'T12949', 'T12950']",1,1,23 January 2014,folk,59:14
P1523,Folk,U719,102,"['T12408', 'T12951', 'T12952', 'T12953', 'T12954', 'T12955', 'T12956', 'T12957', 'T882', 'T12958']",1,934,22 December 2014,folk,2:47:10
P1524,Folk,U9301,127,"['T12959', 'T12960', 'T12961', 'T12962', 'T12963', 'T12964', 'T12405', 'T12965', 'T12966', 'T12967']",19,None,2 November 2017,folk,2:46:03
P1525,Folk,U9309,99,"['T12968', 'T12969', 'T12970', 'T12971', 'T12972', 'T12973', 'T12974', 'T12975', 'T12976', 'T12977']",3,190,5 September 2016,folk,2:41:03
P1526,folk,U9314,105,"['T12978', 'T12979', 'T12980', 'T12981', 'T12982', 'T12983', 'T12984', 'T12985', 'T12986', 'T12987']",1,None,19 May 2019,folk,2:51:28
P1527,folk,U9321,48,"['T12988', 'T12989', 'T12990', 'T12991', 'T12992', 'T11786', 'T12993', 'T12994', 'T12995', 'T11877']",10,None,17 February 2015,folk,6:54:08
P1528,folk,U9329,96,"['T12996', 'T12997', 'T12998', 'T12999', 'T13000', 'T13001', 'T13002', 'T13003', 'T13004', 'T13005']",5,None,6 February 2016,folk,2:56:30
P1529,Folk,U9337,81,"['T12119', 'T13006', 'T1486', 'T13007', 'T13008', 'T13009', 'T13010', 'T13011', 'T13012', 'T12203']",2,1,20 February 2014,folk,2:54:33
P1530,Folk,U9343,101,"['T736', 'T13013', 'T10834', 'T13014', 'T13015', 'T13016', 'T13017', 'T13018', 'T13019', 'T13020']",1,None,24 February 2019,folk,2:42:49
P1531,FOLK,U9352,101,"['T13021', 'T13022', 'T13023', 'T13024', 'T13025', 'T13026', 'T13027', 'T13028', 'T13029', 'T13030']",1,10,2 August 2020,folk,4:12:29
P1532,folk,U9356,94,"['T10553', 'T13031', 'T10554', 'T10555', 'T13032', 'T13033', 'T13034', 'T10556', 'T13035', 'T13036']",162,None,25 September 2014,folk,2:43:15
P1533,Folk,U9360,100,"['T13037', 'T13038', 'T13039', 'T13040', 'T13041', 'T13042', 'T13043', 'T13044', 'T13045', 'T13046']",7,1,15 May 2018,folk,2:43:38
P1534,Folk,U9369,81,"['T1257', 'T327', 'T11220', 'T1255', 'T1258', 'T323', 'T1254', 'T1256', 'T328', 'T1260']",2,3,26 July 2019,folk,3:19:10
P1535,folk,U9370,78,"['T13047', 'T13048', 'T13049', 'T13050', 'T13051', 'T1503', 'T92', 'T10668', 'T13052', 'T13053']",2,1,11 June 2019,folk,3:02:21
P1536,folk,U9377,176,"['T13054', 'T13055', 'T13056', 'T13057', 'T13058', 'T13059', 'T13060', 'T13061', 'T13062', 'T13063']",19,1,13 March 2019,folk,5:44:32
P1537,Indie/Folk/Singer-SongWriter/Acoustic,U9388,156,"['T11263', 'T11264', 'T12369', 'T13064', 'T12239', 'T13065', 'T50', 'T13066', 'T13067', 'T11246']",4088,557,27 July 2013,folk,2:47:13
